PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr,AdmLocBenReachedClustAgg1,AdmLocBenReachedClustAgg2,AdmLocBenReachedClustAgg3,AdmLocBenReachedClustAgg4,AdmLocBenReachedClustAgg5,AdmLocBenReachedClustAgg6
21,CBPF-SOM-23-R-NGO-24792,7|||11,50.00|||50.00,1##2##3##,Sool,Xudun,Faraguul,,,,300##2100##1050##1050|||0##0##0##0,300##2100##1050##1050|||0##0##0##0,300##2100##1050##1050|||0##0##0##0,,,,"8.72400000,47.52900000","9.15423100,47.47539300","9.31730000,46.98386000",,,,97500.00|||0.00,97500.00|||0.00,97500.00|||0.00,,,,2023,300##2100##1050##1050|||0##0##0##0,300##2100##1050##1050|||0##0##0##0,300##2100##1050##1050|||0##0##0##0,,,
21,CBPF-SOM-23-R-NGO-24792,7|||11,50.00|||50.00,1##2##3##,Sool,Xudun,Gorofley,,,,100##700##350##350|||0##0##0##0,100##700##350##350|||0##0##0##0,100##700##350##350|||0##0##0##0,,,,"8.72400000,47.52900000","9.15423100,47.47539300","9.13564000,47.75333000",,,,32500.00|||0.00,32500.00|||0.00,32500.00|||0.00,,,,2023,100##700##350##350|||0##0##0##0,100##700##350##350|||0##0##0##0,100##700##350##350|||0##0##0##0,,,
21,CBPF-SOM-23-R-NGO-24792,7|||11,50.00|||50.00,1##2##3##,Sool,Xudun,Hol-Hol,,,,200##1400##700##700|||0##0##0##0,200##1400##700##700|||0##0##0##0,200##1400##700##700|||0##0##0##0,,,,"8.72400000,47.52900000","9.15423100,47.47539300","8.93041000,47.73481000",,,,65000.00|||0.00,65000.00|||0.00,65000.00|||0.00,,,,2023,200##1400##700##700|||0##0##0##0,200##1400##700##700|||0##0##0##0,200##1400##700##700|||0##0##0##0,,,
21,CBPF-SOM-23-R-NGO-24792,7|||11,50.00|||50.00,1##2##3##,Sool,Xudun,Xudun,,,,400##2800##1400##1400|||2000##9000##500##500,400##2800##1400##1400|||2000##9000##500##500,400##2800##1400##1400|||2000##9000##500##500,,,,"8.72400000,47.52900000","9.15423100,47.47539300","9.15423100,47.47539300",,,,130000.00|||325000.00,130000.00|||325000.00,130000.00|||325000.00,,,,2023,400##2800##1400##1400|||2000##9000##500##500,400##2800##1400##1400|||2000##9000##500##500,400##2800##1400##1400|||2000##9000##500##500,,,
21,CBPF-SOM-23-R-NGO-25205,4,100.00,1##2##,Gedo,Belet Xaawo,,,,,1658##1859##3317##3216,1658##1859##3317##3216,,,,,"2.80200000,41.68800000","3.78074000,41.89431000",,,,,300000.00,300000.00,,,,,2023,2162##2285##3749##3710,2162##2285##3749##3710,,,,
21,CBPF-SOM-23-R-NGO-25205,4,100.00,1##2##,Gedo,Luuq,,,,,1658##1859##3317##3216,1658##1859##3317##3216,,,,,"2.80200000,41.68800000","3.79999000,42.54459000",,,,,300000.00,300000.00,,,,,2023,2656##2645##3483##3443,2656##2645##3483##3443,,,,
21,CBPF-SOM-23-R-NGO-25206,11,100.00,1##2##,Gedo,Luuq,,,,,3700##7300##2600##2400,3700##7300##2600##2400,,,,,"2.80200000,41.68800000","3.79999000,42.54459000",,,,,299997.72,299997.72,,,,,2023,3700##7300##2600##2400,3700##7300##2600##2400,,,,
21,CBPF-SOM-23-R-NGO-25207,11,100.00,1##,Gedo,,,,,,3160##4440##6400##6000,,,,,,"2.80200000,41.68800000",,,,,,400000.00,,,,,,2023,3160##4440##6400##6000,,,,,
21,CBPF-SOM-23-R-NGO-25210,4,100.00,1##2##,Gedo,Baardheere,,,,,2220##5550##1665##1665,2220##5550##1665##1665,,,,,"2.80200000,41.68800000","2.33993500,42.28598100",,,,,300006.60,300006.60,,,,,2023,2220##5550##1665##1665,2220##5550##1665##1665,,,,
21,CBPF-SOM-23-R-NGO-25218,11,100.00,1##2##3##,Gedo,Doolow,Doolow,,,,3678##3828##4587##4587,3678##3828##4587##4587,3678##3828##4587##4587,,,,"2.80200000,41.68800000","4.16358000,42.07617000","4.16358000,42.07617000",,,,300000.00,300000.00,300000.00,,,,2023,3678##3828##4587##4587,3678##3828##4587##4587,3678##3828##4587##4587,,,
21,CBPF-SOM-23-R-NGO-26532,4,100.00,1##2##,Gedo,Doolow,,,,,4575##5342##4205##4010,4575##5342##4205##4010,,,,,"2.80200000,41.68800000","4.16358000,42.07617000",,,,,499998.16,499998.16,,,,,2023,4575##5342##4205##4010,4575##5342##4205##4010,,,,
21,CBPF-SOM-23-R-NGO-26534,10,100.00,1##2##,Gedo,Baardheere,,,,,550##3285##670##1907,550##3285##670##1907,,,,,"2.80200000,41.68800000","2.33993500,42.28598100",,,,,307930.38,307930.38,,,,,2023,647##3319##716##1968,647##3319##716##1968,,,,
21,CBPF-SOM-23-R-NGO-26535,6,100.00,1##,Gedo,,,,,,750##1350##2000##2650,,,,,,"2.80200000,41.68800000",,,,,,400000.00,,,,,,2023,750##1350##2000##2650,,,,,
21,CBPF-SOM-23-R-NGO-26536,11,100.00,1##2##,Gedo,Baardheere,,,,,4250##4500##8750##7500,4250##4500##8750##7500,,,,,"2.80200000,41.68800000","2.33993500,42.28598100",,,,,550003.37,550003.37,,,,,2023,4250##4500##8750##7500,4250##4500##8750##7500,,,,
21,CBPF-SOM-23-R-NGO-26537,7,100.00,1##2##3##,Gedo,Baardheere,Baardheere/Hilaac,,,,4060##7900##5090##4950,4060##7900##5090##4950,4060##7900##5090##4950,,,,"2.80200000,41.68800000","2.33993500,42.28598100","2.33515000,42.28096000",,,,350000.00,350000.00,350000.00,,,,2023,5988##7663##4056##4162,5988##7663##4056##4162,5988##7663##4056##4162,,,
